Year,Number
2009-01-01,388
2009-02-01,768
2009-03-01,1107
2009-04-01,1234
2009-05-01,1136
2009-06-01,975
2009-07-01,1839
2009-08-01,1382
2009-09-01,1457
2009-10-01,1404
2009-11-01,1911
2009-12-01,941
2010-01-01,1253
2010-02-01,1941
2010-03-01,3107
2010-04-01,3630
2010-05-01,3169
2010-06-01,1095
2010-07-01,3919
2010-08-01,6254
2010-09-01,4063
2010-10-01,4683
2010-11-01,4017
2010-12-01,4813
2011-01-01,6506
2011-02-01,8494
2011-03-01,8730
2011-04-01,2359
2011-05-01,7709
2011-06-01,7649
2011-07-01,7381
2011-08-01,6482
2011-09-01,6258
2011-10-01,5322
2011-11-01,7123
2011-12-01,7603
2012-01-01,5000
2012-02-01,5000
2012-03-01,7447
2012-04-01,10000
2012-05-01,9489
2012-06-01,3275
2012-07-01,16725
2012-08-01,12802
2012-09-01,9283
2012-10-01,30000
2012-11-01,30000
2012-12-01,21961
2013-01-01,18099
2013-02-01,12721
2013-03-01,15030
2013-04-01,25330
2013-05-01,13705
2013-06-01,10076
2013-07-01,11566
2013-08-01,9745
2013-09-01,8432
2013-10-01,9133
2013-11-01,19612
2013-12-01,17038
2014-01-01,6776
2014-02-01,8992
2014-03-01,1488
2014-04-01,1216
2014-05-01,570
2014-06-01,1293
2014-07-01,1229
2014-08-01,300
2014-09-01,220
2014-10-01,241
2014-11-01,1047
2014-12-01,573